title,abstract,author_keywords
Exercise and other non-pharmaceutical interventions for cancer-related fatigue in patients during or after cancer treatment: a systematic review incorporating an indirect-comparisons meta-analysis.,"To assess the relative effects of different types of exercise and other non-pharmaceutical interventions on cancer-related fatigue (CRF) in patients during and after cancer treatment.Systematic review and indirect-comparisons meta-analysis.Articles were searched in PubMed, Cochrane CENTRAL and published meta-analyses.Randomised studies published up to January 2017 evaluating different types of exercise or other non-pharmaceutical interventions to reduce CRF in any cancer type during or after treatment.Risk of bias assessment with PEDro criteria and random effects Bayesian network meta-analysis.We included 245 studies. Comparing the treatments with usual care during cancer treatment, relaxation exercise was the highest ranked intervention with a standardisedmean difference (SMD) of -0.77 (95% Credible Interval (CrI) -1.22 to -0.31), while massage (-0.78; -1.55 to -0.01), cognitive-behavioural therapy combined with physical activity (combined CBT, -0.72; -1.34 to -0.09), combined aerobic and resistance training (-0.67; -1.01 to -0.34), resistance training (-0.53; -1.02 to -0.03), aerobic (-0.53; -0.80 to -0.26) and yoga (-0.51; -1.01 to 0.00) all had moderate-to-large SMDs. After cancer treatment, yoga showed the highest effect (-0.68; -0.93 to -0.43). Combined aerobic and resistance training (-0.50; -0.66 to -0.34), combined CBT (-0.45; -0.70 to -0.21), Tai-Chi (-0.45; -0.84 to -0.06), CBT (-0.42; -0.58 to -0.25), resistance training (-0.35; -0.62 to -0.08) and aerobic (-0.33; -0.51 to -0.16) showed all small-to-moderate SMDs.Patients can choose among different effective types of exercise and non-pharmaceutical interventions to reduce CRF.","['cancer related fatigue', 'exercise', 'indirect comparison metaanalysis', 'network metaanalysis', 'nonpharmaceutical interventions']"
"Effectiveness of conservative interventions including exercise, manual therapy and medical management in adults with shoulder impingement: a systematic review and meta-analysis of RCTs.","To investigate the effectiveness of conservative interventions for pain, function and range of motion in adults with shoulder impingement.Systematic review and meta-analysis of randomised trials.Medline, CENTRAL, CINAHL, Embase and PEDro were searched from inception to January 2017.Randomised controlled trials including participants with shoulder impingement and evaluating at least one conservative intervention against sham or other treatments.For pain, exercise was superior to non-exercise control interventions (standardised mean difference (SMD) -0.94, 95% CI -1.69 to -0.19). Specific exercises were superior to generic exercises (SMD -0.65, 95% CI -0.99 to -0.32). Corticosteroid injections were superior to no treatment (SMD -0.65, 95% CI -1.04 to -0.26), and ultrasound guided injections were superior to non-guided injections (SMD -0.51, 95% CI -0.89 to -0.13). Nonsteroidal anti-inflammatory drugs (NSAIDS) had a small to moderate SMD of -0.29 (95% CI -0.53 to -0.05) compared with placebo. Manual therapy was superior to placebo (SMD -0.35, 95% CI -0.69 to -0.01). When combined with exercise, manual therapy was superior to exercise alone, but only at the shortest follow-up (SMD -0.32, 95% CI -0.62 to -0.01). Laser was superior to sham laser (SMD -0.88, 95% CI -1.48 to -0.27). Extracorporeal shockwave therapy (ECSWT) was superior to sham (-0.39, 95% CI -0.78 to -0.01) and tape was superior to sham (-0.64, 95% CI -1.16 to -0.12), with small to moderate SMDs.Although there was only very low quality evidence, exercise should be considered for patients with shoulder impingement symptoms and tape, ECSWT, laser or manual therapy might be added. NSAIDS and corticosteroids are superior to placebo, but it is unclear how these treatments compare to exercise.","['Conservative', 'MetaAnalysis', 'Pain', 'Shoulder Impingement', 'Systematic Review']"
Effectiveness of myopia control interventions: A systematic review of 12 randomized control trials published between 2019 and 2021.,"This study aims to investigate the effectiveness of interventions to control myopia progression. In this systematic review, the primary outcomes were mean differences (MD) between treatment and control groups in myopia progression (D) and axial length (AL) elongation (mm).The following interventions were found to be effective (<i>p</i> < 0.001): highly aspherical lenslets (HAL, 0.80 D, 95% CI, 0.77-0.83; -0.35 mm, 95% CI -0.36 to -0.34), MiSight contact lenses (0.66 D, 95% CI, 0.63-0.69; -0.28 mm, 95% CI -0.29 to -0.27), low dose atropine 0.05% (0.54 D, 95% CI, 0.38-0.70; -0.21 mm, 95% CI-0.28 to -0.14), Biofinity +2.50 D (0.45 D, 95% CI, 0.29, 0.61; -0.24 mm, 95% CI -0.33 to -0.15), defocus incorporated multiple segments [DIMS] (0.44 D, 95% CI, 0.42-0.46; -0.34 mm, 95% CI -0.35 to -0.33) and ortho-k lenses (-0.24 mm, 95% CI -0.33 to -01.5).Low-dose atropine 0.01% was not effective in reducing AL progression in two studies. Treatment efficacy with low-dose atropine of 0.05% showed good efficacy. Spectacles (HAL and DIMS) and contact lenses (MiSight and Biofinity) may confer a comparable treatment benefit compared to atropine, to slow myopia progression.","['axial length', 'efficacy', 'elongation', 'myopia', 'progression', 'systematic review', 'treatment']"
Causal relationships between gut microbiota and programmed cell death protein 1/programmed cell death-ligand 1: A bidirectional Mendelian randomization study.,"Multiple clinical studies have indicated that the gut microbiota influences the effects of immune checkpoint blockade (ICB) therapy comprising PD-1/PD-L1 inhibitors, but the causal relationship is unclear. Because of numerous confounders, many microbes related to PD-1/PD-L1 have not been identified. This study aimed to determine the causal relationship between the microbiota and PD-1/PD-L1 and identify possible biomarkers for ICB therapy.We used bidirectional two-sample Mendelian randomization with two different thresholds to explore the potential causal relationship between the microbiota and PD-1/PD-L1 and species-level microbiota GWAS to verify the result.In the primary forward analysis, genus_Holdemanella showed a negative correlation with PD-1 [βIVW = -0.25; 95% CI (-0.43 to -0.07); P<sub>FDR</sub> = 0.028] and genus_Prevotella9 showed a positive correlation with PD-1 [βIVW = 0.2; 95% CI (0.1 to 0.4); P<sub>FDR</sub> = 0.027]; order_Rhodospirillales [βIVW = 0.2; 95% CI (0.1 to 0.4); P<sub>FDR</sub> = 0.044], family_Rhodospirillaceae [βIVW = 0.2; 95% CI (0 to 0.4); P<sub>FDR</sub> = 0.032], genus_Ruminococcaceae_UCG005 [βIVW = 0.29; 95% CI (0.08 to 0.5); P<sub>FDR</sub> = 0.028], genus_Ruminococcus_gnavus_group [βIVW = 0.22; 95% CI (0.05 to 0.4); P<sub>FDR</sub> = 0.029], and genus_Coprococcus_2 [βIVW = 0.4; 95% CI (0.1 to 0.6); P<sub>FDR</sub> = 0.018] were positively correlated with PD-L1; and phylum_Firmicutes [βIVW = -0.3; 95% CI (-0.4 to -0.1); P<sub>FDR</sub> = 0.031], family_ClostridialesvadinBB60group [βIVW = -0.31; 95% CI (-0.5 to -0.11), P<sub>FDR</sub> = 0.008], family_Ruminococcaceae [βIVW = -0.33; 95% CI (-0.58 to -0.07); P<sub>FDR</sub> = 0.049], and genus_Ruminococcaceae_UCG014 [βIVW = -0.35; 95% CI (-0.57 to -0.13); P<sub>FDR</sub> = 0.006] were negatively correlated with PD-L1. The one significant species in further analysis was species_Parabacteroides_unclassified [βIVW = 0.2; 95% CI (0-0.4); P<sub>FDR</sub> = 0.029]. Heterogeneity (P > 0.05) and pleiotropy (P > 0.05) analyses confirmed the robustness of the MR results.","['PD1PDL1', 'bidirectional Mendelian randomization', 'causality', 'gut microbiota', 'pQTL']"
Prevention of hypotension after spinal anaesthesia for caesarean section: a systematic review and network meta-analysis of randomised controlled trials.,"Spinal anaesthesia for caesarean section commonly causes maternal hypotension. This systematic review and network meta-analysis compared methods to prevent hypotension in women receiving spinal anaesthesia for caesarean section. We selected randomised controlled trials that compared an intervention to prevent hypotension with another intervention or inactive control by searching MEDLINE and Embase, Web of Science to December 2018. There was no language restriction. Two reviewers extracted data on trial characteristics, methods and outcomes. We assessed risk of bias for individual trials (Cochrane tool) and quality of evidence (GRADE checklist). We assessed 109 trials (8561 women) and 12 different methods that resulted in 30 direct comparisons. Methods ranked by OR (95%CI) from most effective to least effective were: metaraminol 0.11 (0.04-0.26); norepinephrine 0.13 (0.06-0.28); phenylephrine 0.18 (0.11-0.29); leg compression 0.25 (0.14-0.43); ephedrine 0.28 (0.18-0.43); colloid given before induction of anaesthesia 0.38 (0.24-0.61); angiotensin 2, 0.12 (0.02-0.75); colloid given after induction of anaesthesia 0.52 (0.30-0.90); mephentermine 0.09 (0.01-1.30); crystalloid given after induction of anaesthesia 0.78 (0.46-1.31); and crystalloid given before induction of anaesthesia 1.16 (0.76-1.79). Phenylephrine caused maternal bradycardia compared with control, OR (95%CI) 0.23 (0.07-0.79). Ephedrine lowered umbilical artery pH more than phenylephrine, standardised mean difference (95%CI) 0.78 (0.47-1.49). We conclude that vasopressors should be given to healthy women to prevent hypotension during caesarean section with spinal anaesthesia.","['anaesthesia', 'spinal', 'caesarean section', 'hypotension', 'prevention']"
Comparative efficacy and acceptability of licensed dose intranasal corticosteroids for moderate-to-severe allergic rhinitis: a systematic review and network meta-analysis.,"No evidence shows that one intranasal corticosteroid (INCS) is better than another for treating moderate-to-severe allergic rhinitis (AR). This network meta-analysis assessed the comparative efficacy and acceptability of licensed dose aqueous INCSs. PubMed/MEDLINE, Scopus, EMBASE, and the Cochrane Central Register of Controlled Trials were searched until 31 March 2022. Eligible studies included randomized controlled trials comparing INCSs with placebo or other types of INCSs in patients with moderate-to-severe allergic rhinitis. Two reviewers independently screened and extracted data following the Preferred Reporting Items in Systematic Reviews and Meta-analysis guideline. A random-effects model was used for data pooling. Continuous outcomes were expressed as standardized mean difference (SMD). The primary outcomes were the efficacy in improving total nasal symptom score (TNSS) and treatment acceptability (the study dropout). We included 26 studies, 13 with 5,134 seasonal AR patients and 13 with 4,393 perennial AR patients. Most placebo-controlled studies had a moderate quality of evidence. In seasonal AR, mometasone furoate (MF) was ranked the highest efficacy, followed by fluticasone furoate (FF), ciclesonide (CIC), fluticasone propionate and triamcinolone acetonide (TAA) (SMD -0.47, 95% CI: -0.63 to -0.31; -0.46, 95% CI: -0.59 to -0.33; -0.44, 95% CI: -0.75 to -0.13; -0.42, 95% CI: -0.67 to -0.17 and -0.41, 95% CI: -0.81 to -0.00), In perennial AR, budesonide was ranked the highest efficacy, followed by FF, TAA, CIC, and MF (SMD -0.43, 95% CI: -0.75 to -0.11; -0.36, 95% CI: -0.53 to -0.19; -0.32, 95% CI: -0.54 to -0.10; -0.29, 95% CI: -0.48 to -0.11; and -0.28, 95% CI: -0.55 to -0.01). The acceptability of all included INCSs was not inferior to the placebo. According to our indirect comparison, some INCSs have superior efficacy to others with moderate quality of evidence in most placebo-controlled studies for treating moderate-to-severe AR.","['acceptability', 'allergic rhinitis', 'efficacy', 'intranasal corticosteroid', 'metaanalysis', 'systematic review', 'total nasal symptom score', 'total ocular symptom score']"
Balneotherapy for Fibromyalgia Syndrome: A Systematic Review and Meta-Analysis.,"(1) Background: The efficiency of balneotherapy (BT) for fibromyalgia syndrome (FMS) remains elusive. (2) Methods: Cochrane Library, EMBASE, MEDLINE, PubMed, Clinicaltrials.gov, and PsycINFO were searched from inception to 31 May 2020. Randomized controlled trials (RCTs) with at least one indicator were included, i.e., pain, Fibromyalgia Impact Questionnaire (FIQ), Tender Points Count (TPC), and Beck's Depression Index (BDI). The outcome was reported as a standardized mean difference (SMD), 95% confidence intervals (CIs), and <i>I</i><sup>2</sup> for heterogeneity at three observational time points. GRADE was used to evaluate the strength of evidence. (3) Results: Amongst 884 citations, 11 RCTs were included (<i>n</i> = 672). Various BT regimens were reported (water types, duration, temperature, and ingredients). BT can benefit FMS with statistically significant improvement at different time points (pain of two weeks, three and six months: SMD = -0.92, -0.45, -0.70; 95% CI (-1.31 to -0.53, -0.73 to -0.16, -1.34 to -0.05); <i>I</i><sup>2</sup> = 54%, 51%, 87%; GRADE: very low, moderate, low; FIQ: SMD = -1.04, -0.64, -0.94; 95% CI (-1.51 to -0.57, -0.95 to -0.33, -1.55 to -0.34); <i>I</i><sup>2</sup> = 76%, 62%, 85%; GRADE: low, low, very low; TPC at two weeks and three months: SMD = -0.94, -0.47; 95% CI (-1.69 to -0.18, -0.71 to -0.22); <i>I</i><sup>2</sup> = 81%, 0; GRADE: very low, moderate; BDI at six months: SMD = -0.45; 95% CI (-0.73 to -0.17); <i>I</i><sup>2</sup> = 0; GRADE: moderate). There was no statistically significant effect for the TPC and BDI at the remaining time points (TPC at six months: SMD = -0.89; 95% CI (-1.85 to 0.07); <i>I</i><sup>2</sup> = 91%; GRADE: very low; BDI at two weeks and three months: SMD = -0.35, -0.23; 95% CI (-0.73 to 0.04, -0.64 to 0.17); <i>I</i><sup>2</sup> = 24%, 60%; GRADE: moderate, low). (4) Conclusions: Very low to moderate evidence indicates that BT can benefit FMS in pain and quality-of-life improvement, whereas tenderness and depression improvement varies at time phases. Established BT regimens with a large sample size and longer observation are needed.","['balneotherapy', 'fibromyalgia', 'metaanalysis', 'musculoskeletal disease', 'systematic review']"
Putative causal inference for the relationship between obesity and sex hormones in males: a bidirectional Mendelian randomization study.,"Obesity is a chronic disease with a high prevalence rate and is an established risk factor for human health. Body mass index (BMI) is a common and primary indicator used in assessing obesity. This work aims to investigate the putative causal relationship among BMI, sex hormone-binding globulin (SHBG), bioavailable testosterone (BioT), and estradiol levels.We conducted a bidirectional Mendelian randomization study, using single-nucleotide polymorphisms (SNPs) strongly associated with BMI, SHBG, BioT, and estradiol as instrumental variables. All SNPs were identified from the genome-wide association study (GWAS) summary data of large sample studies recruiting more than 150,000 European adult male individuals. The inverse-variance-weighted (IVW) approach was used as a primary algorithm for putative causal estimation.Genetically predicted elevated BMI was associated with decreased SHBG (IVW, β = -0.103, 95% confidence interval [CI] [-0.113 to -0.092], <i>P</i> = 1.50 × 10<sup>-77</sup>) and BioT levels (IVW, β = -0.139, 95% CI [-0.165 to -0.113], <i>P</i> = 9.54 × 10<sup>-26</sup>) and high estradiol levels (IVW, β = 0.014, 95% CI [0.009-0.019], <i>P</i> = 2.19 × 10<sup>-7</sup>). Increased SHBG levels were causally associated with low BMI (IVW, β = -0.051, 95% CI [-0.098 to -0.005], <i>P</i> = 0.030) and BioT (IVW, β = -0.126, 95% CI [-0.175 to -0.077], <i>P</i> = 5.97 × 10<sup>-7</sup>) and high estradiol levels (IVW, β = 0.046, 95% CI [0.035-0.056], <i>P</i> = 6.51 × 10<sup>-17</sup>). Conversely, no evidence of an effect of estradiol imbalance on SHBG levels (IVW, β = 1.035, 95% CI [-0.854 to 2.926], <i>P</i> = 0.283) and BMI (IVW, β = 0.091, 95% CI [-0.094 to 0.276], <i>P</i> = 0.336) was obtained. However, increased BioT levels were causally associated with lower SHBG levels (IVW, β = -0.044, 95% CI [-0.061 to -0.026], <i>P</i> = 8.76 × 10<sup>-7</sup>), not BMI (IVW, β = -0.006, 95% CI [-0.035 to 0.023], <i>P</i> = 0.679).The findings support a network putative causal relationship among BMI, SHBG, BioT, and estradiol. SHBG, BioT, and estradiol may partly mediate the effect of obesity on male health. Reasonably modulating BioT and estradiol, especially SHBG, facilitated the attenuation of the harmful effects of obesity on male health.","['Bioavailable testosterone', 'Body mass index', 'Mendelian randomization', 'Sex hormonebinding globulin', 'Singlenucleotide polymorphism']"
Effect of exercise intervention on depression in children and adolescents: a systematic review and network meta-analysis.,"To evaluate the effect of different exercise interventions on depressive symptoms in children and adolescents.Randomized controlled trials (RCT) published until May 2023 were screened in four databases. The Cochrane collaboration tool was used to assess the risk of bias for quality evaluation. Stata 16.0 software was used for both a pairwise meta-analysis and a series of frequentist network meta-analyses (NMA).A total of 35 RCTs and 5393 participants were included. Aerobic exercise had the most significant effect on depressive symptoms (66.2%), followed by group training (62.5%), resistance exercise (59.0%), and aerobic combined with resistance exercise (57.9%). Furthermore, children and adolescents younger than 15 years showed significant improvement in depressive symptoms (SMD=-0.41, 95% CI (-0.63, -0.19), P < 0.01). The study also found a significant improvement in depression among healthy, obesity, and depressed populations (SMD=-0.25, 95% CI (-0.41, -0.08), P < 0.01); SMD=-0.15, 95% CI (-0.31, -0.00), P < 0.01; SMD=-0.75, 95% CI (-1.32, -0.19), P < 0.01). Additionally, 30 min of exercise had a significant effect (SMD=-0.14, 95% CI (-0,81, -0.01), P < 0.01), and 40-50 min of exercise had the best effect (SMD=-0.17, 95% CI (-0,33, -0.02), P < 0.01). Lastly, exercise frequency of three times per week was significant in children and adolescents (SMD=-0.42, 95% CI (-0,66, -0.18), P < 0.01).Exercise significantly improves depressive symptoms in children and adolescents, with aerobic exercise having the most significant effect. A 12-week, three-times-a-week, 40-50-minute exercise intervention was found to be more effective in younger children and adolescents.","['Child and adolescent', 'Depression', 'Exercise intervention', 'Network metaanalysis']"
"Single-leg disuse decreases skeletal muscle strength, size, and power in uninjured adults: A systematic review and meta-analysis.","We aimed to quantify declines from baseline in lower limb skeletal muscle size and strength of uninjured adults following single-leg disuse. We searched EMBASE, Medline, CINAHL, and CCRCT up to 30 January 2022. Studies were included in the systematic review if they (1) recruited uninjured participants; (2) were an original experimental study; (3) employed a single-leg disuse model; and (4) reported muscle strength, size, or power data following a period of single-leg disuse for at least one group without a countermeasure. Studies were excluded if they (1) did not meet all inclusion criteria; (2) were not in English; (3) reported previously published muscle strength, size, or power data; or (4) could not be sourced from two different libraries, repeated online searches, and the authors. We used the Cochrane Risk of Bias Assessment Tool to assess risk of bias. We then performed random-effects meta-analyses on studies reporting measures of leg extension strength and extensor size. Our search revealed 6548 studies, and 86 were included in our systematic review. Data from 35 and 20 studies were then included in the meta-analyses for measures of leg extensor strength and size, respectively (40 different studies). No meta-analysis for muscle power was performed due to insufficient homogenous data. Effect sizes (Hedges' g<sub>av</sub> ) with 95% confidence intervals for leg extensor strength were all durations = -0.80 [-0.92, -0.68] (n = 429 participants; n = 68 aged 40 years or older; n ≥ 78 females); ≤7 days of disuse = -0.57 [-0.75, -0.40] (n = 151); >7 days and ≤14 days = -0.93 [-1.12, -0.74] (n = 206); and >14 days = -0.95 [-1.20, -0.70] (n = 72). Effect sizes for measures of leg extensor size were all durations = -0.41 [-0.51, -0.31] (n = 233; n = 32 aged 40 years or older; n ≥ 42 females); ≤7 days = -0.26 [-0.36, -0.16] (n = 84); >7 days and ≤14 days = -0.49 [-0.67, -0.30] (n = 102); and >14 days = -0.52 [-0.74, -0.30] (n = 47). Decreases in leg extensor strength (cast: -0.94 [-1.30, -0.59] (n = 73); brace: -0.90 [-1.18, -0.63] (n = 106)) and size (cast: -0.61[-0.87, -0.35] (n = 41); brace: (-0.48 [-1.04, 0.07] (n = 41)) following 14 days of disuse did not differ for cast and brace disuse models. Single-leg disuse in adults resulted in a decline in leg extensor strength and size that reached a nadir beyond 14 days. Bracing and casting led to similar declines in leg extensor strength and size following 14 days of disuse. Studies including females and males and adults over 40 years of age are lacking.","['Atrophy', 'Immobilization', 'Muscle disuse', 'Singleleg disuse', 'Skeletal muscle', 'Unloading']"
